replication_index,master_seed,p,lambda,n_runs,batches,collapses,collapse_probability,wilson95_low,wilson95_high,restricted_mean_tau_Tplus1,conditional_mean_tau,reference_exact,seed_replay_exact
0,20260429,0.02,96.0,2550000,510,1063800,0.4171764705882353,0.41657138531804827,0.41778180539779364,597.6079874509804,34.0422711035909,True,True
0,20260429,0.04,94.0,2550000,510,1434943,0.5627227450980392,0.5621138103563146,0.563331490862133,457.40489568627453,34.99123449502872,True,True
0,20260429,0.06,92.0,2550000,510,1650576,0.647284705882353,0.6466980251834712,0.6478709428265051,376.1115968627451,35.60038919746803,True,True
0,20260429,0.08,90.0,2550000,510,1788701,0.7014513725490196,0.7008893954078597,0.7020127427364649,323.6877274509804,35.41307686416008,True,True
0,20260429,0.1,88.0,2550000,510,1888164,0.7404564705882353,0.7399180459557605,0.7409941707483662,285.8395678431373,35.16276234479632,True,True
0,20260429,0.12,86.0,2550000,510,1960512,0.7688282352941177,0.7683103904782609,0.7693452701562178,258.0396988235294,34.64592106551758,True,True
0,20260429,0.14,84.0,2550000,510,2016635,0.7908372549019608,0.7903376294239826,0.7913360041151114,236.32009843137254,34.07551986353505,True,True
0,20260429,0.16,82.0,2550000,510,2061908,0.8085913725490196,0.8081080455016563,0.8090737698400972,218.68806352941178,33.50026771320544,True,True
0,20260429,0.18,80.0,2550000,510,2096282,0.8220713725490196,0.8216014738564269,0.8225403008713762,205.11069843137255,32.84890248544804,True,True
0,20260429,0.2,78.0,2550000,510,2124823,0.8332639215686275,0.832805926983519,0.8337209120614203,193.79676470588234,32.27542858864009,True,True
1,20260430,0.02,96.0,2550000,510,1063735,0.41715098039215687,0.41654590041623446,0.4177563099842501,597.617934509804,34.00702994636822,True,True
1,20260430,0.04,94.0,2545000,509,1431797,0.5625921414538311,0.5619825886756388,0.5632015052773901,457.6670601178782,35.232972970330295,True,True
1,20260430,0.06,92.0,2545000,509,1648535,0.6477544204322201,0.6471673409766161,0.6483410538432937,375.61995638506875,35.54144983273027,True,True
1,20260430,0.08,90.0,2545000,509,1787109,0.7022039292730845,0.7016418068482351,0.7027654412799416,322.9959406679764,35.46273786321931,True,True
1,20260430,0.1,88.0,2545000,509,1884068,0.7403017681728881,0.7397627105658808,0.7408401003512481,285.943384675835,35.101165138413265,True,True
1,20260430,0.12,86.0,2545000,509,1957265,0.7690628683693517,0.768544698292608,0.7695802261927603,257.8336467583497,34.67281947002578,True,True
1,20260430,0.14,84.0,2545000,509,2012191,0.7906447937131631,0.7901445085424477,0.7911442014785182,236.47261335952848,34.03304755860651,True,True
1,20260430,0.16,82.0,2545000,509,2057073,0.8082801571709234,0.8077960559148131,0.808763327783622,219.04201650294695,33.56565615318465,True,True
1,20260430,0.18,80.0,2545000,509,2092809,0.8223218074656189,0.8218517058299916,0.8227909360685693,204.90182200392928,32.889741013155046,True,True
1,20260430,0.2,78.0,2545000,509,2122700,0.8340667976424362,0.8336092355208866,0.8345233512752555,193.07577956777996,32.343505441183396,True,True
